entityId,neighborhoods,neighborhoodCount,linkedCards,linkedQuestions
1b49dd16-56bc-4715-afef-84bed49be08e,acl-tear|multiligament-knee-injury,2,0,115
1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,osteochondral-defect-knee|patellar-instability,2,4,30
003ee1e7-bc76-4243-9692-900d71f5f638,carpal-tunnel-syndrome|cmc-dislocations|rolando-fracture|bennett-fracture,4,0,0
0865d9ca-50e9-4757-99ed-a7cc1fb22e84,carpal-tunnel-syndrome|lt-ligament-injury,2,0,0
0881f88a-0c58-47e8-8277-c1fef78bf31b,carpal-tunnel-syndrome|boxer-fracture|lt-ligament-injury|proximal-phalanx-fracture|carpal-instability|cmc-dislocations|essex-lopresti-injury|lunate-fracture|ulnar-styloid-fracture|lunate-dislocation|metacarpal-fracture|rolando-fracture|wrist-dislocation|bennett-fracture|distal-ulna-fracture|druj-instability|galeazzi-fracture|perilunate-dislocation|scaphoid-nonunion|sl-ligament-injury|scaphoid-fracture|imaging-radiographic-measurements,22,0,0
1203c213-061d-4499-9aec-a7268655b004,carpal-tunnel-syndrome|boxer-fracture|metacarpal-fracture,3,0,0
1e4844af-a7b7-47c0-af17-7516a6d9451b,carpal-tunnel-syndrome|metacarpal-fracture,2,0,0
1ef6f9d7-5fd3-49b5-b669-0b70bdeec64f,carpal-tunnel-syndrome|druj-instability|galeazzi-fracture|distal-radius-fracture,4,0,0
2726050c-8d05-48f6-95ed-a07a0d55f39e,carpal-tunnel-syndrome|lunate-dislocation,2,0,0
2aa3df65-9ff3-4517-876f-f5d3122a25b0,carpal-tunnel-syndrome|carpal-instability|wrist-dislocation|scaphoid-nonunion|sl-ligament-injury|scaphoid-fracture,6,0,0
33c820ef-8fcc-4962-90a6-36a95624ec05,carpal-tunnel-syndrome|essex-lopresti-injury,2,0,0
34b0bbc5-3fba-4a0c-9f3c-3a3ffef22b7f,carpal-tunnel-syndrome|cmc-dislocations|rolando-fracture|bennett-fracture|surgical-approaches,5,0,0
3e644b34-d2d8-4ea6-9670-d6e15aa94e84,carpal-tunnel-syndrome|boxer-fracture|proximal-phalanx-fracture|metacarpal-fracture,4,0,0
